job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,min_salary,max_salary,skills_list,avg_salary,salary_clean,revenue_numeric,company_size_numeric
data scientist,senior,hybrid,company_003,"Grapevine, TX",17 days ago,"Bentonville, AR, US",Retail,Public,352440000000.0,,100472 - 200938,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",100472,200938.0,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",150705.0,100472 - 200938,,352440000000.0
data scientist,lead,hybrid,company_005,"Fort Worth, TX",15 days ago,"Detroit, MI, US",Manufacturing,Public,155030.0,51100000000.0,118733,"['spark', 'r', 'python', 'sql', 'machine learning']",118733,118733.0,"['spark', 'r', 'python', 'sql', 'machine learning']",118733.0,118733,51100000000.0,155030.0
data scientist,senior,on-site,company_007,"Austin, TX",a month ago,"Redwood City, CA, US",Technology,Public,25930.0,33799999999.999996,94987 - 159559,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",94987,159559.0,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",127273.0,94987 - 159559,33799999999.999996,25930.0
data scientist,senior,hybrid,company_008,"Chicago, IL",8 days ago,"San Jose, CA, US",Technology,Public,34690.0,81710000000.0,112797 - 194402,"['sql', 'r', 'python']",112797,194402.0,"['sql', 'r', 'python']",153599.5,112797 - 194402,81710000000.0,34690.0
data scientist,,on-site,company_009,On-site,3 days ago,"Stamford, CT, US",Finance,Private,1800.0,,114172 - 228337,[],114172,228337.0,[],171254.5,114172 - 228337,,1800.0
data scientist,lead,,company_013,"New York, NY",3 months ago,"New York, NY, US",Technology,Private,150.0,2160000000.0,196371 - 251170,"['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",196371,251170.0,"['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",223770.5,196371 - 251170,2160000000.0,150.0
data scientist,junior,,company_014,"Berkeley, CA",15 days ago,"Berkeley, CA, US",Education,,17471.0,,51330 - 70144,[],51330,70144.0,[],60737.0,51330 - 70144,,17471.0
machine learning engineer,senior,on-site,company_015,"Menlo Park, CA",9 days ago,"Menlo Park, CA, US",Technology,Public,900.0,,121480 - 132440,['machine learning'],121480,132440.0,['machine learning'],126960.0,121480 - 132440,,900.0
data scientist,senior,remote,company_019,Fully Remote,6 days ago,"Boston, MA, US",Technology,Private,126.0,,207331,[],207331,207331.0,[],207331.0,207331,,126.0
data scientist,senior,on-site,company_021,On-site,a day ago,"San Francisco, CA, US",Technology,Public,5520.0,61060000000.0,219201,[],219201,219201.0,[],219201.0,219201,61060000000.0,5520.0
data scientist,senior,,company_022,"Atlanta, GA",15 days ago,"Charlotte, NC, US",Technology,Public,103010.0,128130000000.0,96815,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']",96815,96815.0,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']",96815.0,96815,128130000000.0,103010.0
data scientist,midlevel,,company_027,Greater Vancouver Metropolitan Area,6 days ago,"Vancouver, BC, CA",Education,,240.0,,62697 - 89293,"['java', 'git', 'python']",62697,89293.0,"['java', 'git', 'python']",75995.0,62697 - 89293,,240.0
data scientist,senior,remote,company_029,"Minneapolis, MN",8 days ago,"Golden Valley, MN, US",Manufacturing,Public,21030.0,43180000000.0,99464 - 165954,"['sql', 'machine learning', 'python']",99464,165954.0,"['sql', 'machine learning', 'python']",132709.0,99464 - 165954,43180000000.0,21030.0
data scientist,senior,on-site,company_031,"Titusville, NJ",19 days ago,"New Brunswick, NJ, US",Healthcare,Public,128890.0,413020000000.0,112343 - 117823,"['sql', 'machine learning', 'r', 'python']",112343,117823.0,"['sql', 'machine learning', 'r', 'python']",115083.0,112343 - 117823,413020000000.0,128890.0
